date,day_of_week,school_visitors,public_visitors,total_visitors,extra,opening_hours
2017-01-10,úterý,45.0,26.0,71.0,,
2017-01-11,středa,25.0,31.0,56.0,,
2017-01-12,čtvrtek,85.0,47.0,132.0,,
2017-01-13,pátek,0.0,47.0,47.0,,
2017-01-14,sobota,0.0,618.0,618.0,,
2017-01-15,neděle,0.0,385.0,385.0,,
2017-01-16,pondělí,92.0,69.0,161.0,,
2017-01-17,úterý,0.0,24.0,24.0,,
2017-01-18,středa,32.0,45.0,77.0,,
2017-01-19,čtvrtek,137.0,37.0,174.0,,
2017-01-20,pátek,0.0,37.0,37.0,,
2017-01-21,sobota,14.0,480.0,494.0,,
2017-01-22,neděle,0.0,320.0,320.0,,
2017-01-23,pondělí,88.0,63.0,151.0,,
2017-01-24,úterý,72.0,84.0,156.0,,
2017-01-25,středa,254.0,113.0,367.0,,
2017-01-26,čtvrtek,295.0,81.0,376.0,,
2017-01-27,pátek,76.0,72.0,148.0,,
2017-01-28,sobota,0.0,617.0,617.0,,
2017-01-29,neděle,0.0,336.0,336.0,,
2017-01-30,pondělí,11.0,26.0,37.0,,
2017-01-31,úterý,18.0,49.0,67.0,,
2017-02-01,středa,81.0,37.0,118.0,,
2017-02-02,čtvrtek,93.0,46.0,139.0,,
2017-02-03,pátek,50.0,561.0,611.0,,
2017-02-04,sobota,0.0,976.0,976.0,,
2017-02-05,neděle,0.0,490.0,490.0,,
2017-02-06,pondělí,46.0,173.0,219.0,,
2017-02-07,úterý,103.0,250.0,353.0,,
2017-02-08,středa,144.0,311.0,455.0,,
2017-02-09,čtvrtek,0.0,272.0,272.0,,
2017-02-10,pátek,122.0,296.0,418.0,,
2017-02-11,sobota,16.0,1148.0,1164.0,,
2017-02-12,neděle,0.0,675.0,675.0,,
2017-02-13,pondělí,0.0,364.0,364.0,,
2017-02-14,úterý,0.0,446.0,446.0,,
2017-02-15,středa,55.0,455.0,510.0,,
2017-02-16,čtvrtek,114.0,449.0,563.0,,
2017-02-17,pátek,47.0,681.0,728.0,,
2017-02-18,sobota,0.0,1589.0,1589.0,,
2017-02-19,neděle,0.0,915.0,915.0,,
2017-02-20,pondělí,40.0,148.0,188.0,,
2017-02-21,úterý,108.0,273.0,381.0,,
2017-02-22,středa,103.0,308.0,411.0,,
2017-02-23,čtvrtek,217.0,241.0,458.0,,
2017-02-24,pátek,36.0,271.0,307.0,,
2017-02-25,sobota,0.0,1518.0,1518.0,,
2017-02-26,neděle,0.0,1010.0,1010.0,,
2017-02-27,pondělí,116.0,256.0,372.0,,
2017-02-28,úterý,192.0,375.0,567.0,,
2017-03-01,středa,68.0,254.0,322.0,,
2017-03-02,čtvrtek,135.0,242.0,377.0,,
2017-03-03,pátek,102.0,305.0,407.0,,
2017-03-04,sobota,0.0,815.0,815.0,,
2017-03-05,neděle,0.0,707.0,707.0,,
2017-03-06,pondělí,58.0,384.0,442.0,,
2017-03-07,úterý,95.0,478.0,573.0,,
2017-03-08,středa,145.0,401.0,546.0,,
2017-03-09,čtvrtek,266.0,647.0,913.0,,
2017-03-10,pátek,54.0,595.0,649.0,,
2017-03-11,sobota,0.0,1158.0,1158.0,,
2017-03-12,neděle,0.0,638.0,638.0,,
2017-03-13,pondělí,125.0,216.0,341.0,,
2017-03-14,úterý,344.0,460.0,804.0,,
2017-03-15,středa,170.0,518.0,688.0,,
2017-03-16,čtvrtek,316.0,339.0,655.0,,
2017-03-17,pátek,57.0,306.0,363.0,,
2017-03-18,sobota,0.0,1922.0,1922.0,,
2017-03-19,neděle,6.0,1118.0,1124.0,,
2017-03-20,pondělí,181.0,68.0,249.0,,
2017-03-21,úterý,186.0,81.0,267.0,,
2017-03-22,středa,215.0,93.0,308.0,,
2017-03-23,čtvrtek,274.0,133.0,407.0,,
2017-03-24,pátek,80.0,69.0,149.0,,
2017-03-25,sobota,18.0,680.0,698.0,,
2017-03-26,neděle,0.0,409.0,409.0,,
2017-03-27,pondělí,31.0,169.0,200.0,,
2017-03-28,úterý,86.0,159.0,245.0,,
2017-03-29,středa,370.0,156.0,526.0,,
2017-03-30,čtvrtek,433.0,195.0,628.0,,
2017-03-31,pátek,251.0,59.0,310.0,,
