iter	Passed	Remaining
1030	13824	12993
1031	13836	12978
1032	13852	12967
1033	13866	12955
1034	13882	12943
1035	13895	12929
1036	13910	12917
1037	13924	12905
1038	13941	12894
1039	13955	12882
1040	13967	12867
1041	13983	12855
1042	13994	12840
1043	14007	12826
1044	14021	12814
1045	14035	12801
1046	14049	12788
1047	14062	12774
1048	14076	12761
1049	14104	12760
1050	14116	12746
1051	14128	12731
1052	14141	12717
1053	14153	12703
1054	14165	12688
1055	14178	12675
1056	14191	12660
1057	14204	12647
1058	14217	12633
1059	14229	12618
1060	14242	12604
1061	14255	12590
1062	14268	12577
1063	14281	12563
1064	14294	12549
1065	14306	12534
1066	14317	12519
1067	14329	12505
1068	14342	12491
1069	14359	12480
1070	14371	12466
1071	14384	12452
1072	14397	12438
1073	14410	12424
1074	14423	12411
1075	14436	12396
1076	14447	12381
1077	14458	12366
1078	14470	12351
1079	14482	12336
1080	14494	12322
1081	14505	12307
1082	14517	12291
1083	14528	12276
1084	14540	12262
1085	14551	12247
1086	14563	12232
1087	14574	12216
1088	14585	12201
1089	14596	12186
1090	14608	12171
1091	14620	12156
1092	14631	12141
1093	14642	12126
1094	14655	12112
1095	14668	12098
1096	14679	12083
1097	14697	12073
1098	14710	12060
1099	14723	12046
1100	14735	12032
1101	14748	12018
1102	14764	12006
1103	14777	11993
1104	14789	11979
1105	14802	11965
1106	14815	11951
1107	14827	11936
1108	14838	11921
1109	14849	11906
1110	14862	11892
1111	14874	11878
1112	14886	11863
1113	14897	11848
1114	14909	11834
1115	14921	11819
1116	14933	11804
1117	14946	11791
1118	14960	11778
1119	14972	11764
1120	14984	11749
1121	14996	11735
1122	15010	11722
1123	15021	11707
1124	15033	11692
1125	15045	11677
1126	15056	11663
1127	15070	11649
1128	15081	11635
1129	15094	11621
1130	15107	11607
1131	15120	11594
1132	15132	11579
1133	15144	11565
1134	15156	11550
1135	15167	11536
1136	15180	11521
1137	15193	11508
1138	15208	11496
1139	15220	11482
1140	15234	11469
1141	15247	11455
1142	15261	11442
1143	15274	11429
1144	15286	11414
1145	15299	11401
1146	15311	11386
1147	15322	11371
1148	15334	11357
1149	15347	11344
1150	15360	11330
1151	15371	11315
1152	15382	11300
1153	15393	11285
1154	15405	11270
1155	15417	11256
1156	15430	11242
1157	15443	11229
1158	15455	11215
1159	15468	11200
1160	15479	11186
1161	15490	11171
